"Ano","Regiao","Sub_Regiao","Pais","Mes","GeoCodUnidMaior","UnidMaior","GeoCodUnidMenor","UnidMenor","Especie","Categoria","TotalCasos","TotalNaoConfirmados","CASO_VARIANTE","CASO_FILOGEN","CASO_CERTIFICACAO","CASO_DATA_CERTIFIC","CASO_LAB","matchcode"
2004,"América Latina","México","Mexico",2,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",2,"0","NULL","NULL","P","2004-12-06 15:07:17.430","2",NA
2004,"América Latina","México","Mexico",3,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",1,"NULL","NULL","NULL","P","2004-03-26 00:00:00.000","NULL",NA
2004,"América Latina","México","Mexico",3,"MEX-PUE","Puebla","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2004-04-22 10:54:42.840","1",NA
2004,"América Latina","México","Mexico",3,"MEX-OAX","Oaxaca","...","Sin Informacion","Perros","Perros",1,"1","NULL","NULL","P","2004-04-19 15:45:53.483","0",NA
2004,"América Latina","México","Mexico",3,"MEX-HDL","Hidalgo","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2004-04-17 09:22:08.763","1",NA
2004,"América Latina","México","Mexico",3,"MEX-PUE","Puebla","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2004-04-17 09:22:08.763","1",NA
2004,"América Latina","México","Mexico",4,"MEX-PUE","Puebla","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2004-05-19 16:16:24.200","1",NA
2004,"América Latina","México","Mexico",4,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2004-05-19 16:16:01.873","1",NA
2004,"América Latina","México","Mexico",4,"MEX-PUE","Puebla","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2004-05-19 16:16:01.873","1",NA
2004,"América Latina","México","Mexico",5,"MEX-YCT","Yucatan","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2004-06-08 12:01:17.153","1",NA
2004,"América Latina","México","Mexico",5,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2004-07-14 14:44:34.467","1",NA
2004,"América Latina","México","Mexico",4,"MEX-CHP","Chiapas","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2004-08-10 14:15:56.340","1",NA
2004,"América Latina","México","Mexico",7,"MEX-PUE","Puebla","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2004-08-10 14:26:36.123","1",NA
2004,"América Latina","México","Mexico",7,"MEX-YCT","Yucatan","...","Sin Informacion","Perros","Perros",2,"0","NULL","NULL","P","2004-08-10 14:27:23.623","2",NA
2004,"América Latina","México","Mexico",8,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2004-09-14 15:00:40.750","1",NA
2004,"América Latina","México","Mexico",8,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2004-09-20 09:02:20.310","1",NA
2004,"América Latina","México","Mexico",9,"MEX-PUE","Puebla","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2004-10-22 09:54:53.607","1",NA
2004,"América Latina","México","Mexico",10,"MEX-PUE","Puebla","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2004-11-24 09:33:34.610","1",NA
2004,"América Latina","México","Mexico",10,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2004-11-26 13:57:22.573","1",NA
2004,"América Latina","México","Mexico",10,"MEX-CHP","Chiapas","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2004-12-03 09:22:45.950","1",NA
2004,"América Latina","México","Mexico",11,"MEX-MEX","Mexico","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2004-12-03 09:23:01.983","1",NA
2004,"América Latina","México","Mexico",2,"MEX-PUE","Puebla","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2004-12-07 09:04:53.990","1",NA
2004,"América Latina","México","Mexico",2,"MEX-PUE","Puebla","...","Sin Informacion","Perros","Perros",1,"0","NULL","NULL","P","2004-12-07 09:05:05.397","1",NA
